"filename", "language", "Markdown", "JSON", "JavaScript", "HTML", "CSS", "comment", "blank", "total"
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\meal.js", "JavaScript", 0, 0, 29, 0, 0, 1, 8, 38
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\profile.js", "JavaScript", 0, 0, 105, 0, 0, 6, 20, 131
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\actions\types.js", "JavaScript", 0, 0, 32, 0, 0, 0, 5, 37
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\auth\Login.js", "JavaScript", 0, 0, 63, 0, 0, 0, 9, 72
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\auth\Register.js", "JavaScript", 0, 0, 91, 0, 0, 0, 9, 100
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\Dashboard.js", "JavaScript", 0, 0, 80, 0, 0, 2, 17, 99
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\DashboardActions.js", "JavaScript", 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\dashboard\DashboardExistingProfile.js", "JavaScript", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodForm.js", "JavaScript", 0, 0, 113, 0, 0, 7, 31, 151
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodItem.js", "JavaScript", 0, 0, 93, 0, 0, 0, 21, 114
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\FoodMain.js", "JavaScript", 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\food-forms\Serving.js", "JavaScript", 0, 0, 32, 0, 0, 0, 5, 37
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\goals\GoalForm.js", "JavaScript", 0, 0, 157, 0, 0, 0, 21, 178
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Alert.js", "JavaScript", 0, 0, 16, 0, 0, 0, 4, 20
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Autocomplete.js", "JavaScript", 0, 0, 87, 0, 0, 106, 24, 217
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Landing.js", "JavaScript", 0, 0, 36, 0, 0, 0, 5, 41
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Navbar.js", "JavaScript", 0, 0, 63, 0, 0, 3, 6, 72
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\NotFound.js", "JavaScript", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\layout\Spinner.js", "JavaScript", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile-forms\DietProfileForm.js", "JavaScript", 0, 0, 143, 0, 0, 30, 11, 184
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile-forms\ProfileForm.js", "JavaScript", 0, 0, 192, 0, 0, 0, 17, 209
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\Profile.js", "JavaScript", 0, 0, 44, 0, 0, 0, 5, 49
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileAbout.js", "JavaScript", 0, 0, 31, 0, 0, 0, 3, 34
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileDiet.js", "JavaScript", 0, 0, 34, 0, 0, 0, 3, 37
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileItem.js", "JavaScript", 0, 0, 37, 0, 0, 0, 3, 40
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileMain.js", "JavaScript", 0, 0, 41, 0, 0, 0, 3, 44
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\profile\ProfileTop.js", "JavaScript", 0, 0, 24, 0, 0, 0, 3, 27
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\routing\PrivateRoute.js", "JavaScript", 0, 0, 30, 0, 0, 0, 4, 34
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\routing\Routes.js", "JavaScript", 0, 0, 41, 0, 0, 0, 5, 46
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\settings\DietProfile.js", "JavaScript", 0, 0, 34, 0, 0, 1, 3, 38
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\components\settings\SettingsMain.js", "JavaScript", 0, 0, 58, 0, 0, 27, 14, 99
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\index.js", "JavaScript", 0, 0, 9, 0, 0, 0, 2, 11
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\alert.js", "JavaScript", 0, 0, 14, 0, 0, 0, 4, 18
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\auth.js", "JavaScript", 0, 0, 60, 0, 0, 1, 4, 65
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\dietprofile.js", "JavaScript", 0, 0, 30, 0, 0, 0, 5, 35
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\food.js", "JavaScript", 0, 0, 30, 0, 0, 0, 5, 35
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\goal.js", "JavaScript", 0, 0, 31, 0, 0, 0, 5, 36
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\index.js", "JavaScript", 0, 0, 17, 0, 0, 0, 1, 18
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\meal.js", "JavaScript", 0, 0, 30, 0, 0, 0, 5, 35
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\reducers\profile.js", "JavaScript", 0, 0, 44, 0, 0, 0, 4, 48
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\store.js", "JavaScript", 0, 0, 22, 0, 0, 6, 8, 36
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\utils\api.js", "JavaScript", 0, 0, 19, 0, 0, 7, 3, 29
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\utils\formatDate.js", "JavaScript", 0, 0, 4, 0, 0, 0, 1, 5
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\client\src\utils\setAuthToken.js", "JavaScript", 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\config\db.js", "JavaScript", 0, 0, 18, 0, 0, 1, 4, 23
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\middleware\auth.js", "JavaScript", 0, 0, 21, 0, 0, 3, 3, 27
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\middleware\checkObjectId.js", "JavaScript", 0, 0, 7, 0, 0, 1, 2, 10
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\DietProfile.js", "JavaScript", 0, 0, 48, 0, 0, 0, 2, 50
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Food.js", "JavaScript", 0, 0, 35, 0, 0, 0, 4, 39
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\FoodDiary.js", "JavaScript", 0, 0, 30, 0, 0, 0, 2, 32
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Goal.js", "JavaScript", 0, 0, 40, 0, 0, 0, 2, 42
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Meal.js", "JavaScript", 0, 0, 20, 0, 0, 0, 2, 22
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\Profile.js", "JavaScript", 0, 0, 41, 0, 0, 30, 3, 74
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\models\User.js", "JavaScript", 0, 0, 68, 0, 0, 0, 8, 76
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\package-lock.json", "JSON", 0, 19184, 0, 0, 0, 0, 1, 19185
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\package.json", "JSON", 0, 34, 0, 0, 0, 0, 1, 35
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\auth.js", "JavaScript", 0, 0, 61, 0, 0, 6, 11, 78
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\dietprofile.js", "JavaScript", 0, 0, 106, 0, 0, 19, 30, 155
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\fDiary.js", "JavaScript", 0, 0, 39, 0, 0, 6, 11, 56
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\food.js", "JavaScript", 0, 0, 107, 0, 0, 69, 34, 210
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\goal.js", "JavaScript", 0, 0, 74, 0, 0, 61, 22, 157
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\meal.js", "JavaScript", 0, 0, 148, 0, 0, 144, 72, 364
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\profile.js", "JavaScript", 0, 0, 106, 0, 0, 24, 18, 148
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\routes\api\users.js", "JavaScript", 0, 0, 139, 0, 0, 6, 25, 170
"c:\Users\Domantas\Desktop\Bakalauras\calories-tracker\server.js", "JavaScript", 0, 0, 22, 0, 0, 5, 9, 36
"Total", "-", 38, 35933, 3554, 20, 501, 649, 794, 41489
